college_x,height_x,position_x,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,salary,season,draft_round,draft_pick
University of Tulsa,77.0,G-F,0.0,0.0,0.0,8.9,0.517,4.6,0.624,3.9,2.4,63.0,11.7,386232.0,1984,1,20
North Carolina State University,76.0,G,2.2,0.447,1.0,6.6,0.502,3.3,0.825,2.2,1.8,103.0,9.1,386750.0,1988,2,29
Temple University,77.0,G,0.0,0.0,0.0,12.7,0.456,5.8,0.76,4.9,3.7,115.0,15.7,386880.0,1985,1,15
University of Tulsa,77.0,G,0.0,0.0,0.0,13.5,0.5479999999999999,7.4,0.847,4.5,3.8,122.0,18.6,386880.0,1985,1,19
"University of Missouri, Southern Illinois University",73.0,G,10.8,0.371,4.0,17.6,0.391,6.9,0.8059999999999999,3.5,2.8,57.0,20.6,387442.0,1997,0,0
University of Wisconsin-Green Bay,79.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387442.0,1997,2,53
"University of Washington, University of Kentucky",82.0,F,0.9,0.414,0.4,6.1,0.526,3.2,0.774,3.4,2.6,125.0,9.4,387442.0,1997,2,52
University of Tulsa,77.0,G,7.3,0.33,2.4,14.8,0.396,5.9,0.7020000000000001,6.1,4.3,124.0,18.5,387442.0,1997,0,0
South Carolina State University,78.0,F,0.1,0.0,0.0,12.9,0.505,6.5,0.636,7.0,4.4,90.0,17.5,387442.0,1997,0,0
Villanova University,77.0,G,2.9,0.35,1.0,8.4,0.44299999999999995,3.7,0.726,3.4,2.4,131.0,10.9,387442.0,1997,2,47
Marquette University,81.0,F,2.0,0.373,0.8,7.3,0.444,3.2,0.721,2.9,2.1,113.0,9.3,387442.0,1997,2,50
University of Louisville,72.0,G,6.3,0.377,2.4,11.8,0.452,5.3,0.755,4.0,3.0,136.0,16.1,387442.0,1997,2,51
University of Memphis,70.0,G,1.9,0.262,0.5,6.3,0.428,2.7,0.5589999999999999,1.7,1.0,123.0,6.9,387442.0,1997,0,0
College of Charleston,75.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387442.0,1997,2,39
Florida State University,76.0,G,6.1,0.37200000000000005,2.3,12.8,0.45,5.8,0.679,3.3,2.2,112.0,16.0,387442.0,1997,2,36
University of Alabama,76.0,G,6.1,0.386,2.3,10.9,0.435,4.7,0.785,2.4,1.9,112.0,13.7,387442.0,1997,2,46
"California State University, Long Beach",77.0,G,5.3,0.369,2.0,12.7,0.442,5.6,0.8,6.2,5.0,80.0,18.2,387442.0,1997,2,32
University of California,82.0,C,0.0,0.0,0.0,3.4,0.51,1.7,0.48700000000000004,1.7,0.8,117.0,4.3,387442.0,1997,0,0
University of Missouri,81.0,F,2.9,0.418,1.2,5.8,0.486,2.8,0.813,2.7,2.2,117.0,9.0,387442.0,1997,0,0
"University of Nevada, Las Vegas, California State University, Bakersfield",80.0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387442.0,1997,2,35
Villanova University,83.0,C,0.0,0.0,0.0,7.0,0.586,4.1,0.6920000000000001,5.5,3.8,131.0,11.9,387842.25,1997,2,41
Providence College,72.0,G,2.2,0.20800000000000002,0.5,8.1,0.39299999999999996,3.2,0.6759999999999999,5.1,3.4,65.0,10.3,387842.25,1997,2,45
University of Florida,82.0,F-C,0.1,0.33299999999999996,0.0,7.4,0.531,3.9,0.6629999999999999,3.5,2.3,128.0,10.2,389620.0,1995,2,34
Michigan State University,73.0,G,1.7,0.5,0.8,13.8,0.516,7.1,0.85,4.4,3.8,118.0,18.2,394052.0,1987,1,22
Florida State University,80.0,F,1.5,0.327,0.5,6.8,0.494,3.4,0.799,3.6,2.9,139.0,10.1,397054.0470000001,2016,0,0
